Lesson,Front,Back,Example,Translation
e00-l1,nach dem Essen,after the meal; after eating,Nach dem Essen gehen wir spazieren.,"After the meal, we will go for a walk."
e00-l1,Anfänger,beginner (male),Er ist ein Anfänger in der deutschen Sprache.,He is a beginner in the German language.
e00-l1,Anfängerin,beginner (female),Sie ist eine Anfängerin im Klavierspielen.,She is a beginner in playing the piano.
e00-l1,Krieg,war,Der Krieg hat viele Opfer gefordert.,The war has claimed many victims.
e00-l1,vor,ago,Vor zwei Wochen war ich in Berlin.,"Two weeks ago, I was in Berlin."
e00-l1,von Anfang an,from the beginning; all along; from the start,"Von Anfang an wusste ich, dass es schwierig wird.","From the beginning, I knew it would be difficult."
e00-l1,Autor,author (male),Der Autor hat ein neues Buch geschrieben.,The author has written a new book.
e00-l1,Autorin,author (female),Die Autorin liest aus ihrem neuen Roman vor.,The author is reading from her new novel.
e00-l1,sterben,to die,Er ist vor zehn Jahren gestorben.,He died ten years ago.
e00-l1,Interesse haben,to have interest in,Ich habe Interesse an Kunst.,I have an interest in art.
e00-l1,Welt,world,Die Welt ist voller Überraschungen.,The world is full of surprises.
e00-l1,Niveau,level; standard,Sein Deutsch ist auf einem hohen Niveau.,His German is at a high level.
e00-l1,etwa,about; roughly,Es dauert etwa eine Stunde.,It takes about an hour.
e00-l1,Schweiz,Switzerland,Sie fahren nächste Woche in die Schweiz.,They are going to Switzerland next week.
e00-l1,fliehen,to flee (from something),Sie mussten vor dem Krieg fliehen.,They had to flee from the war.
e00-l1,erscheinen,to be released (a book),Das Buch erscheint nächsten Monat.,The book will be released next month.
e00-l1,Schauspielerin,actor (female); actress,Die Schauspielerin hat einen Preis gewonnen.,The actress has won an award.
e00-l1,immer noch,still,Sie ist immer noch im Büro.,She is still in the office.
e00-l1,Geschichte,story,Er erzählt eine spannende Geschichte.,He is telling an exciting story.
e00-l1,seit,since,Seit einem Jahr lernt sie Deutsch.,She has been learning German for a year.
e00-l1,Postkarte,postcard,Ich schreibe eine Postkarte an meine Freundin.,I am writing a postcard to my friend.
e00-l1,Fortgeschrittene,advanced; advanced student (female),Sie ist eine Fortgeschrittene in der Mathematik.,She is an advanced student in mathematics.
e00-l1,Malerin,painter; artist (female),Die Malerin hat eine neue Ausstellung.,The painter has a new exhibition.
e00-l1,Maler,painter; artist (male),Der Maler arbeitet in seinem Atelier.,The painter is working in his studio.
e00-l1,Preis,price,Der Preis für das Ticket ist gestiegen.,The price for the ticket has increased.
e00-l1,zurückkommen,to return; to come back,Wann kommst du zurück?,When are you coming back?
e00-l1,Künstler,artist (male),Der Künstler stellt seine Werke aus.,The artist is exhibiting his works.
e00-l1,Künstlerin,artist (female),Die Künstlerin malt ein neues Bild.,The artist is painting a new picture.
e00-l2,mindestens,at least; minimum,Du brauchst mindestens zwei Stunden.,You need at least two hours.
e00-l2,Taschengeld,allowance; pocket money,Er bekommt jeden Monat Taschengeld.,He gets pocket money every month.
e00-l2,warum,why,Warum hast du das gemacht?,Why did you do that?
e00-l2,Au-Pair-Junge,nanny; au-pair (male),Er arbeitet als Au-Pair-Junge in Deutschland.,He works as a male au-pair in Germany.
e00-l2,Au-Pair-Mädchen,nanny; au-pair (female),Sie war ein Au-Pair-Mädchen in Frankreich.,She was a female au-pair in France.
e00-l2,Unterkunft,accomodation; board,Die Unterkunft war sehr komfortabel.,The accommodation was very comfortable.
e00-l2,verlassen,to leave something/someone,Er hat seine Heimat verlassen.,He left his homeland.
e00-l2,verdienen,to earn something,Sie verdient viel Geld in ihrem Job.,She earns a lot of money in her job.
e00-l2,dass,that,"Ich weiß, dass du müde bist.",I know that you are tired.
e00-l2,sich etwas ansehen,to have a look at something; to take a look at something,Kann ich mir das Bild ansehen?,Can I take a look at the picture?
e00-l2,Information,information,Ich brauche mehr Informationen über das Thema.,I need more information about the topic.
e00-l2,Situation,situation,Das ist eine schwierige Situation.,This is a difficult situation.
e00-l2,auf etwas/jemanden aufpassen,to look after someone/something,Kannst du auf meine Tasche aufpassen?,Can you look after my bag?
e00-l2,"zwar ..., aber","It is true that..., but","Zwar ist es teuer, aber es lohnt sich.","It is true that it is expensive, but it's worth it."
e00-l2,Verpflegung,food; board; meals,Die Verpflegung im Hotel war ausgezeichnet.,The meals at the hotel were excellent.
e00-l2,weshalb,why,Weshalb bist du so spät gekommen?,Why did you come so late?
e00-l2,Anruf,telephone call,Ich habe einen Anruf von meiner Freundin bekommen.,I received a phone call from my friend.
e00-l2,inklusive,including,Der Preis ist inklusive Frühstück.,The price includes breakfast.
e00-l2,Türkei,Turkey,Wir fahren nächsten Sommer in die Türkei.,We are going to Turkey next summer.
e00-l2,wieso,why,Wieso hast du das nicht gesagt?,Why didn't you say that?
e00-l2,Zuhause,home,Mein Zuhause ist in Deutschland.,My home is in Germany.
e00-l2,höchstens,at most; highest,Das dauert höchstens eine Stunde.,That will take at most an hour.
e00-l2,Anfang,beginning; start,"Der Anfang war schwer, aber jetzt ist es einfacher.","The beginning was hard, but now it's easier."
e00-l3,erfolgreich,successful,Sie ist eine erfolgreiche Geschäftsfrau.,She is a successful businesswoman.
e00-l3,Zukunft,future,Die Zukunft ist ungewiss.,The future is uncertain.
e00-l3,Meinung,opinion,Was ist deine Meinung dazu?,What is your opinion on this?
e00-l3,Migrant,migrant (male),Der Migrant sucht Arbeit in Deutschland.,The migrant is looking for work in Germany.
e00-l3,Studium,studies,Sein Studium war sehr anspruchsvoll.,His studies were very demanding.
e00-l3,Erfolg,success,Der Erfolg kommt mit harter Arbeit.,Success comes with hard work.
e00-l3,Examen machen,"to take an exam (implies a State exam, the bar exam etc.)",Er macht nächste Woche sein Examen.,He is taking his exam next week.
e00-l3,Migrantin,migrant (female),Die Migrantin lernt Deutsch.,The migrant is learning German.
e00-l3,auf keinen Fall,no way; on no account,Ich will auf keinen Fall zurück nach Spanien.,I definitely don’t want to go back to Spain.
e00-l3,noch besser,even better,Das neue Modell ist noch besser als das alte.,The new model is even better than the old one.
e00-l3,Gesetz,law,Das Gesetz verbietet das.,The law prohibits that.
e00-l3,Prozess,process; procedure,Der Prozess dauert länger als erwartet.,The process is taking longer than expected.
